city,state_id,state,county_name,lat,lng,population,density
Tekoa,WA,Washington,Whitman,47.2247,-117.0732,799,251
Tecumseh,IN,Indiana,Vigo,39.5658,-87.4327,799,122
Cumby,TX,Texas,Hopkins,33.1354,-95.8399,798,304
Escalante,UT,Utah,Garfield,37.7649,-111.6,798,92
Lakeville,IN,Indiana,St. Joseph,41.5288,-86.2745,798,488
Smiths Grove,KY,Kentucky,Warren,37.0503,-86.2083,798,395
Walthill,NE,Nebraska,Thurston,42.1489,-96.4929,798,720
Kimball,MN,Minnesota,Stearns,45.3143,-94.3008,798,203
Darby,MT,Montana,Ravalli,46.0234,-114.179,798,505
Ferrelview,MO,Missouri,Platte,39.3143,-94.6654,798,2692
Isle,MN,Minnesota,Mille Lacs,46.1398,-93.4597,798,121
East Orosi,CA,California,Tulare,36.5481,-119.2599,798,1242
Van Buren,MO,Missouri,Carter,37.0082,-91.0113,798,154
Gobles,MI,Michigan,Van Buren,42.3617,-85.8774,798,298
Elmwood,WI,Wisconsin,Pierce,44.7799,-92.1491,797,203
Francesville,IN,Indiana,Pulaski,40.9853,-86.8834,797,1013
Bromley,KY,Kentucky,Kenton,39.0801,-84.5629,797,820
Prospect,NC,North Carolina,Robeson,34.7358,-79.2251,797,78
Gosport,IN,Indiana,Owen,39.3507,-86.6665,797,819
Hollins,AL,Alabama,Clay,33.1213,-86.129,797,25
Sunrise Beach Village,TX,Texas,Llano,30.5862,-98.4187,796,182
Cambridge,IA,Iowa,Story,41.9001,-93.536,796,230
Brasher Falls,NY,New York,St. Lawrence,44.8096,-74.7789,796,187
Morning Sun,IA,Iowa,Louisa,41.0942,-91.2506,796,394
Grazierville,PA,Pennsylvania,Blair,40.6576,-78.2707,795,279
Culbertson,MT,Montana,Roosevelt,48.1447,-104.5183,795,299
Cedar Point,TX,Texas,Polk,30.7975,-95.0749,795,339
McLean,IL,Illinois,McLean,40.3136,-89.1687,795,260
Perdido,AL,Alabama,Baldwin,31.0033,-87.6324,795,27
Lakewood Park,TN,Tennessee,Coffee,35.6482,-86.1357,795,53
Graettinger,IA,Iowa,Palo Alto,43.2371,-94.7504,795,398
Mackinaw City,MI,Michigan,Cheboygan,45.7752,-84.7477,795,89
Moose Creek,AK,Alaska,Fairbanks North Star,64.714,-147.1639,795,199
Bear Rocks,PA,Pennsylvania,Fayette,40.1265,-79.4651,794,115
Zayante,CA,California,Santa Cruz,37.0889,-122.0414,794,112
Eden,UT,Utah,Weber,41.3022,-111.8086,794,72
Chevy Chase Section Three,MD,Maryland,Montgomery,38.9793,-77.0742,794,2626
Wedowee,AL,Alabama,Randolph,33.3077,-85.4864,794,87
Melbourne,IA,Iowa,Marshall,41.9416,-93.1027,794,542
Piney Point,MD,Maryland,St. Mary's,38.1483,-76.5201,794,200
Goshen,OH,Ohio,Clermont,39.2325,-84.1532,793,165
Raymond,IA,Iowa,Black Hawk,42.4694,-92.2296,793,187
Morrisdale,PA,Pennsylvania,Clearfield,40.9484,-78.2278,793,181
Manila,CA,California,Humboldt,40.8513,-124.1631,793,439
Roscoe,PA,Pennsylvania,Washington,40.0782,-79.8641,793,1682
Lake Park,MN,Minnesota,Becker,46.8839,-96.0988,793,309
Cairo,NE,Nebraska,Hall,41.0046,-98.6007,792,320
Athol,"ID",Idaho,Kootenai,47.9451,-116.7062,792,343
Okoboji,IA,Iowa,Dickinson,43.3909,-95.139,792,174
Wells,TX,Texas,Cherokee,31.4916,-94.9473,792,159
Wadsworth,NV,Nevada,Washoe,39.6322,-119.2901,792,82
